id_EXIST,tweet
103131,"@maneltorresestr Si puedo ir con mis amigos (el gordo, el negro, la rubia tonta, el chino, el gracioso, la incomprendida,...) y yo soy el quarterback del equipo del instituto, SÍ"
102111,"@joserra_espn Para nada es un tema machista, pero creo firmemente que las mujeres no deberían practicar box ni torear (esto último se debería erradicar por completo) por los riesgos a los que se exponen.Pronta resignación a la familia y amigos de esta dulce chica."
103150,"@irenegonzalezr_ @Ice174980096 @GFantelli97 @Javirodas_ @XxKanguroxX @Fernand14811856 @AdriRM33 Esta hija de puta y’a sabia yo que en algún momento iba a sacar lo de las champions de mierda , como se nota que es mujer que no sabe de fútbol"
102126,@rotripke Hacelo vos. Perdon cierto que las mujeres no saben hacer asado.
102501,Rápida y furiosa: mujer al volante de una camioneta protagonizó 2 accidentes de tránsito en el norte de Barranquilla https://t.co/bCMLESFjZa
102246,el hecho de que estaba tranquilamente echándome unas canastas y me ha venido un señor a hacer mansplaining sobre cómo encestar...... y no ha encestado...... cuando yo llevaba metidos unos 5 tiros libres seguidos....... soy misándrica
102134,"definitivamente, las mujeres no saben manejar, MUY pocas saben"
102502,@DrMocci Una mujer al volante no le da paso a nadie
102843,"Mi ahijada me dice que para ser una chica grande solamente me falta tener un bebé, deja ni quiero ser grande igual"
103356,"@meganoticiascl ""Me encantaría que hubiera más mujeres que hombres, pero se sabe que las mujeres son hormonales y no trabajan tan bien como un hombre, así que mejor no"" así sonó!"
102067,"Me dice un señor que las mujeres de hoy en día, no sabemos hacer nada. Ni coser ni nada. Le he dicho, que como los hombres de toda la vida"
102121,"@Sofimacriiista Un flaco me invita a salir, él casi abogado, yo casi profesora, a mitad de camino, cargó nafta y me pidió plata para pagar la mitad, me invita a tomar una gaseosa, y compró una grande pidió 2 vasos, y lo que sobró  se lo quedó. Me dijo: Es que las mujeres no saben ahorrar."
103151,"@AROSADR @TeJodoRojo Como se nota que es mujer, es como cuando te pillan en un renuncio, se aferran a una cosa y no sueltan ni explote el planeta 😂"
102068,@Maariollorente Fiesta fiesta fiesta todo el día fiesta fiesta jajajajjajajaja eso es lo que piensan las mujeres de hoy en día si no no disfrutan tienen que colocarse estar borrachas y fiesta fiesta fiesta si no no están disfrutando de la vida fiesta fiesta fiesta siempre fiesta fiesta
102503,"@atribinu ""Cuidadooooo, mujer al volante"" ...Jajaajajaaajaaaa Y lo traduzco al francés cuando estoy allá...Jajajaaaaa jaaaaaEste por lo menos me hace reír 🤣😅😆  🤗"
102091,"Voy en un Uber y este chófer es todo un macho, que cree que las mujeres no deben tomar, fumar o maldecir...Wtf!!! https://t.co/rof4O3RpIW"
102838,@rubea_27 Hasta para ser mujer los hombres son mejores hahahaha
103147,"Todo es un juego para la candidata a ""diputada"". Se nota que es mujer no entendió nada. No la voten plis https://t.co/ddXTlcuM0S"
102114,"Te presentamos el único equipo femenil de baloncesto de #Somalilandia, las integrantes comentan que bajo su contexto estar en el equipo es lo mejor que les puede pasar, ya que los ultra conservadores creen que las #Mujeres no deberían practicar deportes. @dw_espanol https://t.co/VwuUCYsXoJ"
101998,Also: me encanta que su mensaje sea: la mujeres no pueden ser mecánicos o sino la cagaran bien feo https://t.co/knSSYe9nm4
102243,"por qué los hombres siempre que quieren hacer mansplaining o quieren desacreditar el argumento de una mujer utilizan el adjetivo “niña”, “nena”???? Tipo, tú argumento tiene tan poca fuerza que necesitas infantilizarme para sentirte ganador???"
101984,"@KarinaLMariani Las comunistas que gobiernan USA, son de vaudeville, esta con sus ideas, la otra Ilhan Omar gritando que Mahoma fue el primer feminista y que la mujer no puede ascender, nació en Somalia, inmigró, estudió abogacía se recibió, es congresista y ¿la mujeres no pueden ascender?"
102167,"@florrgibson Y si, porque no tenemos la presión social que tienen las mujeres de ser siempre educadas. Podemos escupir en la calle sin que venga un viejo salame a decir ""las señoritas no hacen eso"""
102518,"Ya me lo decían, no women no drive (Mujer al volante peligro constante)"
102116,las mujeres no deberian tener derecho a arbitrar un partido de fútbol
102093,"@DrGersonVila Hay cosas q las mujeres no deben ver, que son solo para los ""mach---""... parecen mafia, quitemos el parecen."
102125,Por eso las mujeres no saben decir la verdad. https://t.co/IdRROxZbZy
102120,"saben, algunas veces antes de dormir me pongo a pensar que las mujeres no deberían tener el derecho a opinar sin el permiso de un hombre"
102092,Imaginate ser reconocida en competencias internacionales pero en tu país no ser tomada en cuenta porque unos cuantos dicen que “las mujeres no deben pitar en partidos importantes” así quedan 🤡 @lnphonduras https://t.co/ayLSoYLaqO
102034,Las chicas no pueden jugar al fútbol con los chicos. Hay mucha diferencia de juego y físico...Also las chicas... https://t.co/gClSNt9nan
102131,@tanyacortezSV ANDA EN PRIMERA PUES COMO SABEMOS MUCHOS HOMBRES LAS MUJERES NO SABEN MANEJAR MUY BIEN LES CUESTA METER LA SEGUNDA Y POCO A POCO HAY QUE METER LA TERCERA Y DESDE AHÍ AGARRA INBION
100460,"@ToroenReposo Pajero la tía. Que vaya a asesinar mujeres a su casa, si es que se lo permiten. Comunista Abortista y sometida por su super-macho."
100110,"Y recuerden que decir ""No todos los hombres"" no es más que una microagresión que demuestra tu necesidad de controlar la opinión de una mujer y someterla a los parámetros de lo que tú esperas que ella sea. https://t.co/O3bDl3pSRh"
103137,"Luna es rubia y tonta, pero es mi rubia tonta y a quien le haga daño le rajo la tráquea."
102127,@martasails Vibes de Francesco Renga diciendo que las mujeres no saben cantar y quedando peor que todas las mujeres
102648,"@CarlosFelipeLp2 @Camila_Vergara No es así. Camila tiene razón. El discurso de Kast es el pathos del fascismo: 1) Infunde temor a inmigrantes, 2) desprecio  los gays, 3) mujer sumisa y procreadora, 4) el trabajador ideal es servil y 5) odio a los intelectuales."
100612,🔝🔝 @essity se alía con Fundación Mujeres para combatir la #brecha de género en el mercado laboral 🤝🙋🏼‍♀️🙋🏼‍♀️#RRHH #empleo #laboral #trabajo #igualdadhttps://t.co/HnicQNCKHp
102136,Definitivamente las mujeres no saben hacerle el trabajo al hombre 🥲
103145,@elugomez23 @DiarioOle Se nota que es mujer por eso no sabe de fútbol. No eran el mismo equipo y el Al-Ahly tiene más títulos internacionales que Boca.
102735,@mothrabigail @harryelsocio Se viste y canta como una nenaza. @Leiva_Oficial
103341,anda mira Fátima la que conducía tan bien como un hombre según cristina 🤩 #SecretCuentaAtrás9
102315,Pregunto pregonan las Chiques el Feminismo y el Masculinismo debe ser exterminado ? Nos tenemos que poner calzas Rosas y cortar el Pito ?  Creo están llegando a extremo y se olvidan cuando las mujeres mandan a la M al marido y los roban  con pensiones o los separan de hijos
102620,"Mi mamá me mandó hacer la limpieza y como toda mujer obediente, me vine a acostar! #Gubai 🥱"
101965,Hay un comentario que se puede traducir como machista por algunos pero la realidad es que la mayoría de las mujeres no sabe manejar media mierda y cada vez que casi me pasan por encima da causalidad que es una que va manejando
102110,"@Strawberry_ls AJKAJAKABALJAKAHAKQB a mi uno me dijo que las mujeres no deberían trabajar, y me estaba tratando de ligar, miedo 💀"
102128,@AgostinaPaez0 @molinattizi Ya te dije por defecto la mayoría de las mujeres no saben cruzar la calle
103347,"@CandyCornerSL Pienso lo siguiente: en lo racional, somos más débiles, sí, o imperfectas. Pero no en el intellectus, que penetra en las cosas (sería la intuición). Por eso la mujer muchas veces intuye la verdad, aunque no sepa explicarlo o desarrollarla tan bien como un hombre."
102508,"Mujer al volante, peligro constante https://t.co/lgIKAgt9yR"
102517,"@balin2522 @julianaoxenford @aliciaretto @MTC_GobPeru Mujer al volante, peligro constante  😅😅😅🚗🚗🚗"
100830,"@Soykarinacarpio @juang44 Trabaje para que sea recordada como una mujer trabajadora y buena administradora, correcta, y verdadera revolucionaria, y trabaje para complacer a los más necesitados, no para las élites, como ha lo han hecho los que han pasado por esa gobernación"
102135,"‘Si las mujeres no saben cocinar: ¿pa qué se casan?’, dice maestro de la UAA https://t.co/El2iqxOxbN"
100829,"@piojo22e Esa fotografía dice más que mil palabras, el atrás de ella,ella feliz mandando y manipulado políticamente a un ser humano que le faltó calle, le faltó barrio,es increíble como una mujer puede despedazar y hacer añicos una carrera política, AMLO sabio"
102712,"@DuniaDW2 @EuricSanti Doña, usted necesita un hombre de carácter 911. Le recomiendo que se busque uno de Tamayo y que sea moreno que viva lejos. Yo le aporto a esa relación 3 🪨🇨🇳. Santo Dios 🤦🏾‍♂️"
102099,Las mujeres no deben dejar que ningún hombre les haga sentir mal o menos con sus palabras. El daño de las palabras hirientes queda en el corazón y es peor.
103126,"anoche iba disfrazado de rubia tonta , como todos los días"
102819,"@gomez_mgz Jjj normal para ser chica, mi mamá y mi abuela usan el mismo número"
102509,"@anabmrt Mujer al volante, peligro constante jajajajjajsksjajajjajajajajajajsjjsjajajsjsjajajsjjaja lo siento"
102504,@notevayaschavo1 @/mujeresalvolante ayyy qué novedosa una mujer al volante! Es como la freijo con lo de las mujeres en las canchas más o menos
103360,"Como dijo Scarlett Overkill ""Cuando inicie en esto,muchos dijeron que una mujer jamas robaria un banco tan bien como un hombre.Bueno-Son tiempos distintos-"
102076,Las mujeres de hoy en día no respetan a los hombres que tienen novia mano🙄 después se andan quejando cuando le dicen lo que son
102732,@aurorab933 No solo lo llamó maricón sino q añadió nenaza...
101336,"Lo mal que me cae esa pregunta dizque “¿estás en tus días?” NO, NO ESTOY EN MIS DÍAS, SOLO NO ME CAYÓ BIEN TU COMENTARIO. Grandísimo bobo!!!!"
103152,"@rrrmsv @emelymd Independientemente de la culpa del La persona que conduce que es obvio es una persona irresponsable, me explica su comentario de ""Se nota que es mujer""????? Que onda?"
100880,@Sofimacrista 😂😂😂 fuiste como una señorita muy aseñorada y te peleaste con tu suegra gallina??
102160,Las batallas contra las mujeres son las únicas que se ganan huyendo. #frases
102174,Me acaban de regañar por decir tres groserías porque “las señoritas no dicen groserías” y solo me enojé más
101377,Entender a las mujeres es tan fácil como: Si tienes 4 manzanas y le quitas una pera ¿Cuánto mide el sol?
102721,"@Elendow UY, ¿divertirte? Que eres? Una ""nenaza""? Ponte a liarte a puños con un oso y SE UN HOMBRE"
100632,"""Trabajar en la brecha digital de género es un problema que requiere de ayuda colectiva, las chicas y las niñas no se pueden volver investigadoras, científicas, programadoras si no lo ven"" -  Emily Ulloa #chicasentecnologia #brechadigital #MujeresLideresec"
102608,"@marian65x @VivaLaVidaT5 Que vergüenza de mujer! La Raquel Bollo va de gran madre y la caga. Es que lo de ser “gran madre”, según lo pintan ciertas personas, empieza a ser sinónimo de saco de boxeo, mujer obediente y sumisa. No volvamos a los años 50 por favor! Una madre no es eso! #APOYOROCIO13F"
102511,"Una mujer al volante, es casi lo mismo que un guaguero o un motorista.. no dan paso y se meten a terror sin direccionales."
102176,"Recuerdo desbloqueado de mi mamá regañándome por reírme como me río siempre, porque las señoritas no son tan escandalosas. https://t.co/5lhrJ1k77t"
101192,"#Bolivia El mandatario reflexionó sobre “la doble discriminación que sufrían nuestras mujeres bolivianas, primero por ser mujeres y, segundo, por ser campesinas e indígenas”.https://t.co/lobzv0rIrj"
102728,"El yayo echando balones fuera, negando todo lo que dijo, lloriqueando como una nenaza porque quiere reconocimiento y todo se reduce a más dinero #ViernesDeluxe"
102993,Pleno año 2022 (Taylor’s Version) y todavía hay onvrez que AFIRMAN (la audacia 🙄) que Taylor Swift no escribe sus propias canciones. El prejuicio que tienen sobre ella por ser una “cantante pop” es ignorante y estúpido neta ya actualícense y cállense locico.
101368,Quisiera entender a las mujeres si dices la verdad se enojan si dices mentiras se enojan pues que quieren 😅😅 ya mejor me da risas 😅
101995,"“Hay machismo en #Colombia. En mi comunidad hay muchos hombres que a sus mujeres no las dejan salir, la mujeres no pueden opinar, no pueden porque son mujeres y los que mandan en la casa son ellos”, dice la joven activista de 17 años.https://t.co/KXinq463Cm"
102519,"@HernnDelgado Yo diría que no duerme cuándo ella conduce por el viejo dicho:""Mujer al volante, peligro constante""😅😅😅😅"
102130,"@gisellabuendia Jaja vaya a lavar platos, cocinar... Las mujeres no saben nada de fútbol... solo sirven para informar lo q les dice el Google nada más @CarlosVictorM @mariocanessa @CarlosGalvez21 #COVID19"
103379,"@PilarHLuc @PODEMOS Me la imagino padeciendo las contingencias de ser mujer en un mundo de hombres; la acosan por su atractivo físico, tiene que esforzarse más para que no la tomen por tonta... un techo de cristal le impide ser la gerente del BBVA..."
100875,"Antes mi papá me peleaba porque quería que me vistiera ""como una señorita, con vestidos y faldas"", pero borró el tema un día que le dije ""ok, pero cómprame vestidos y faldas"""
103136,@sopitas @PrimeVideoMX @sofffiaaa Procuren pagarle mas de 30 mil pesos a la rubia tonta o se va a quejar con derechos humanos jajajajajaja
101373,@KMMEdicamentosa Porque los hombres  piensan que uno anda enojada y es porque tiene el período? Yo ando enojada de forma natural osea siempre.. Ademas como ellos no saben lo que proba tener el periodo nunca van a entender a las mujeres.No todos algunos son empaticos
102324,"Nuevo caso de secuestro, conversión y matrimonio forzado en #Lahore, #Pakistán. Mahnoor Ashraf, niña cristiana de 14 años, fue secuestrada el 4 de enero por un hombre musulmán de 45 años. El informe del padre a la policía es inútil. ¡Dramas como este son por lo menos mil al año! https://t.co/S5EQiba4vd"
103357,"@AntonioMautor Seguro que te lo pueden explicar ""casi tan bien"" como un hombre (dirán los votantes masculinos)"
100963,"Reduciendo a la mujer al papel de ""cuidadora de hijos""? Eh, epa https://t.co/Lguu93zuGK"
102139,"@Nixarim Omvre: las mujeres no saben cómo ser graciosasAlso omvre: jajaja mujer = problemas, el mejor chiste, soy muy original, jajajaa"
102613,Le estoy mostrando mis cocinas a Sunset con mucho cariño espero ke no se entere q es pq está viendo los lugares en los que me puede cocinar como toda mujer obediente
102133,@ElizabethHM21 @2010MisterChip por comentarios como el tuyo dicen que las mujeres no saben de futbol
102643,"@SoyHelvetica Sí, les sirve más la imagen de una mujer sumisa, sencilla, abnegada..."
101370,"@Censelio Oye rojo tarado, tú crees que tiene 15 años el pelafustan electo ese!!! Quieres justificar lo injustificable y más encima indefendible. El que explica se complica. Aunque sigo sin entender a las mujeres que votan por esas plastas."
102022,"Y eso es lo que me parece grave, que niños de 5 años tengan esas ideas tan arcaicas en la cabeza, que sea un cliché, generación tras generación, cuando parecía que mejoraba vuelta para atrás y de nuevo la misma mierda de “las chicas no pueden hacer X”."
101569,"@andybri13 @RaquelFabianC @laurelyeye 4. 😂😂 No crees que es un poco irónico que el debate aquí sea sobre la usanza de ""insultos"" como ""mujer biológica"" y lo único que puedas decirme sea ""perra, machita, falso aliado"" 😂😂😂 bien ahí. 🤡"
102520,"@GerardoQuietMan ¿Todavía se dice eso? Madre mía. Es como el fulano que suelta 'mujer al volante, peligro constante'. Doy fé que he conocido algunas mujeres que conducen bastante mejor que algún que otro cenutrio."
100608,"La brecha de género en matemáticas: ¿Por qué a las niñas les gusta (de promedio) menos esa materia?, vía @elpais_espana https://t.co/gJNniCteM0 https://t.co/EvJzWNrdNJ"
103159,"@Jeremias21_4AGE Se nota que es mujer, a parte fan de Mercedes"
101361,"@MSEQUEYRO En la vida, siempre a sido muy complicado entender a las mujeres."
102561,"@MoratayaYoel No es que no lo entiendan, son cabezas vacias, no saben nada de nada, es fiel reflejo de su ignorancia en asuntos de estado, política, cobstituciin, etc. Habría que averiguar de sus discursos en campaña. Con todo respeto pero. ""mujer florero""."
102137,"El diputado fascista Johannes Káiser dice que LAS MUJERES NO SABEN VOTAR Y DEBERÍA PENSARSE EL QUITARLE EL VOTO A LA MUJER, EL MISÓGENO DEJA CLARO CON EL SARCASMO QUE LAS ENCUENTRA INCAPACES PARA DECIDIR ... https://t.co/yYtqmxqtrt"
102168,"@karmontielg Los profes de derecho: “voy a decir algo, a ver si las señoritas no se molestan”"
102514,@momentoviral Mujer al volante.... Peligro constante 👀🤡🤡
102221,"Dejando de lado con quién decidió casarse el señor de 40 años.. ¿Han notado cómo está permeado el machismo en TODO ámbito de la vida? ¿Qué tiene que la mujer sea la que sustenta a la familia? Parfavar que estamos a 2022, ya evolucionen🦧 https://t.co/wWZ6Eoskp2"
102696,"Los gatos son para mujeres jamonas, que carajo le pasa a esa pareja tan rara?"
101544,"@jcarlk811 @radio_pichincha @PoliciaEcuador Y con este comentario nos damos cuenta que los hombres solo piensan en la ""importancia"" de su pequeño e insignificante miembro, a tal grado que compara un arresto de pensión alimenticia con un ""las ex novias no nos olvidan y así se desquitan"", sal de tu falocentrismo amigo 😘"
102801,"Pero es más que solo esoA mí me obligaron a la masculinidad normada cuando me decían ""no te pares así; juega futbol; no vistas rosa""Mas no fui socializado como hombre porque mis compañeros hombres jamás me igualaron a un chico, pero yo no tenía ""los encantos"" para ser chica"
101558,Aula de Nivel Secundario - 2022El #Falocentrismo deja en evidencia el privilegio de lo masculino en la construcción de la sexualidad y cómo se centra todo en torno a los #penes. 32 penes y ni una sola vulva.Más #ESI por favor. https://t.co/OFZoIRQdL7
101363,@Saarayyy_ Hombre si lo entendiera no pondría en el tweet sin entender a las mujeres
102073,"Es que las mujeres de hoy en día no aguantan infidelidades, maltratos y no viven del que dirán."
102094,"@pvallin Bien, salvo por los cigarrillos mentolados para ellas. Las mujeres no deben fumar."
102660,"Tu vida la basas en lo que tu quieras pero: quién carajos te dijo a ti que yo voy a basar mi vida en un libro escrito por y para hombres, para mantener a la mujer sumisa y repudiar a todos aquellos que no sean cisheterosexuales?Guárdate el librito; no me interesa."
100356,@tanocolu Amenazala con una demanda por acoso sexual y cuando llore le decís que es joda y la invitas a salir.
102102,"@Mich_Chile @remuswift Todos los partidos de Chile estaban en contra el voto de la mujer. Las mujeres lucharon para tenerlo, pero eso fue hace décadas atrás. El poblema aca es que hoy en la actualidad, el diputado del Partido Republicano lo pone en duda y como algo que las mujeres no deberian tener."
102852,@VRAVlTY @erasemymindx ´   Es que la gente se ha vuelto demasiado sensible. Yo le ofrecí una tostada y la cara redonda ha decidido restregármela por la cara. Tsk.       ´Se cruza de brazos señalando a la joven con el pulgar.    ´   No tienes modales para ser una chica.       ´
